Quantity,ProductId,id
1,204,174
1,6,175
1,226,176
1,151,177
1,68,178
1,69,179
1,87,180
1,75,181
1,198,182
1,135,183
3,168,184
2,19,185
1,38,186
1,4,187
2,100,188
2,201,189
3,118,190
1,181,191
1,12,192
1,46,193
1,127,194
1,68,195
1,110,196
2,108,197
1,39,198
1,135,199
2,241,200
2,128,201
1,157,202
1,196,203
1,76,204
1,250,205
1,115,206
3,60,207
1,129,208
2,115,209
2,149,210
1,74,211
1,216,212
1,238,213
1,2,214
1,161,215
2,137,216
1,40,217
1,227,218
2,86,219
1,209,220
2,231,221
1,121,222
1,9,223
1,48,224
1,42,225
1,75,226
2,151,227
1,35,228
1,181,229
2,176,230
3,137,231
1,165,232
1,82,233
1,65,234
1,5,235
2,130,236
2,240,237
1,51,238
1,3,239
2,62,240
1,221,241
2,164,242
2,92,243
2,235,244
1,215,245
1,72,246
1,206,247
1,126,248
2,223,249
2,32,250
2,90,251
1,29,252
1,50,253
2,228,254
1,247,255
1,83,256
2,62,257
1,10,258
1,216,259
1,107,260
1,131,261
1,95,262
1,240,263
1,248,264
1,6,265
2,175,266
1,5,267
1,93,268
1,94,269
3,146,270
2,223,271
1,71,272
2,247,273
1,121,274
1,94,275
1,226,276
3,213,277
1,180,278
1,154,279
2,137,280
1,41,281
2,122,282
2,39,283
1,140,284
1,44,285
1,172,286
1,151,287
2,21,288
2,240,289
1,10,290
1,133,291
1,42,292
1,165,293
1,191,294
2,110,295
1,79,296
1,25,297
1,135,298
1,120,299
1,32,300
1,207,301
1,107,302
2,223,303
1,247,304
2,190,305
1,228,306
1,244,307
1,44,308
1,246,309
1,108,310
1,74,311
1,179,312
1,195,313
2,185,314
1,229,315
1,193,316
1,232,317
1,174,318
1,109,319
2,169,320
1,248,321
1,208,322
1,29,323
1,63,324
2,89,325
1,218,326
1,50,327
1,2,328
1,84,329
1,198,330
1,204,331
1,180,332
1,79,333
1,91,334
1,148,335
1,64,336
1,182,337
1,57,338
2,221,339
1,128,340
1,6,341
1,88,342
2,113,343
2,201,344
2,233,345
1,210,346
1,230,347
1,123,348
1,165,349
2,69,350
1,218,351
2,86,352
1,232,353
1,80,354
2,200,355
1,104,356
1,82,357
1,170,358
2,169,359
2,120,360
1,131,361
1,71,362
1,161,363
3,58,364
3,199,365
1,129,366
1,221,367
1,131,368
3,70,369
1,116,370
2,248,371
1,207,372
2,147,373
1,128,374
2,24,375
1,136,376
1,25,377
1,17,378
1,93,379
1,186,380
1,236,381
1,166,382
2,208,383
1,199,384
2,144,385
1,125,386
2,140,387
1,139,388
2,210,389
2,27,390
2,57,391
1,244,392
1,192,393
1,116,394
1,245,395
1,9,396
1,86,397
2,48,398
1,169,399
1,16,400
2,202,401
1,14,402
1,184,403
2,203,404
2,104,405
2,69,406
2,231,407
3,189,408
1,149,409
1,204,410
2,132,411
2,188,412
1,194,413
1,233,414
1,112,415
2,91,416
2,240,417
1,5,418
2,44,419
1,93,420
1,175,421
1,240,422
1,127,423
1,205,424
1,206,425
2,216,426
1,84,427
1,76,428
1,130,429
2,249,430
2,38,431
1,38,432
1,131,433
2,10,434
1,164,435
1,144,436
1,118,437
1,245,438
2,143,439
1,161,440
3,190,441
1,161,442
1,213,443
2,131,444
2,48,445
1,196,446
3,209,447
1,125,448
2,94,449
1,175,450
1,84,451
3,16,452
2,220,453
1,189,454
3,42,455
3,198,456
1,201,457
2,30,458
1,204,459
1,234,460
1,211,461
3,184,462
1,103,463
2,36,464
1,69,465
1,219,466
1,197,467
2,17,468
2,84,469
1,74,470
3,175,471
1,178,472
1,38,473
1,187,474
1,140,475
1,99,476
1,208,477
3,39,478
1,131,479
1,63,480
2,6,481
1,75,482
1,231,483
1,248,484
1,204,485
1,231,486
1,113,487
2,116,488
1,30,489
1,6,490
1,194,491
1,61,492
2,43,493
2,66,494
1,84,495
2,214,496
2,103,497
1,2,498
1,89,499
1,179,500
1,38,501
1,122,502
3,228,503
1,214,504
1,239,505
1,43,506
1,215,507
1,146,508
1,167,509
1,53,510
1,170,511
2,113,512
1,215,513
1,91,514
2,78,515
1,131,516
1,197,517
1,243,518
1,107,519
1,126,520
2,160,521
2,238,522
2,56,523
3,34,524
2,236,525
1,197,526
1,73,527
1,195,528
1,199,529
1,242,530
2,72,531
1,215,532
2,38,533
1,222,534
2,29,535
1,26,536
1,132,537
2,206,538
2,129,539
1,72,540
1,174,541
1,247,542
1,214,543
1,47,544
1,41,545
2,229,546
1,56,547
1,135,548
1,47,549
3,110,550
1,58,551
1,139,552
2,221,553
1,145,554
1,93,555
1,41,556
2,67,557
1,57,558
1,21,559
2,174,560
2,4,561
1,240,562
1,136,563
1,89,564
3,34,565
1,22,566
1,68,567
1,197,568
1,98,569
1,171,570
1,236,571
1,137,572
3,154,573
1,71,574
1,223,575
1,124,576
1,11,577
1,112,578
1,39,579
1,203,580
1,78,581
3,164,582
3,119,583
2,249,584
1,228,585
1,35,586
3,179,587
1,186,588
1,243,589
1,34,590
1,121,591
1,179,592
1,166,593
2,232,594
1,53,595
1,207,596
2,136,597
1,33,598
1,81,599
1,208,600
2,203,601
2,157,602
1,45,603
1,249,604
1,68,605
1,21,606
1,63,607
2,162,608
1,133,609
1,11,610
1,145,611
1,28,612
1,107,613
1,56,614
2,82,615
2,201,616
1,212,617
1,51,618
2,218,619
2,131,620
1,78,621
1,96,622
1,131,623
1,113,624
1,130,625
2,140,626
1,167,627
1,228,628
1,182,629
2,213,630
1,120,631
1,112,632
2,139,633
2,198,634
1,119,635
1,85,636
1,126,637
1,79,638
1,192,639
1,42,640
1,42,641
2,133,642
1,222,643
1,136,644
1,107,645
2,48,646
1,180,647
2,7,648
1,23,649
2,242,650
1,157,651
1,157,652
1,34,653
3,60,654
1,206,655
2,128,656
1,196,657
1,236,658
1,25,659
1,243,660
1,243,661
2,215,662
2,111,663
2,107,664
1,198,665
2,98,666
1,31,667
1,1,668
3,92,669
1,137,670
1,171,671
2,41,672
1,221,673
2,195,674
2,243,675
1,94,676
1,233,677
2,134,678
2,137,679
1,146,680
2,87,681
1,216,682
1,62,683
2,35,684
1,233,685
1,156,686
1,62,687
1,161,688
1,39,689
1,245,690
1,44,691
1,210,692
1,191,693
1,218,694
1,97,695
1,78,696
1,177,697
1,174,698
1,66,699
1,103,700
1,99,701
1,101,702
2,83,703
3,180,704
1,5,705
2,183,706
1,220,707
2,58,708
1,199,709
1,234,710
1,66,711
2,74,712
1,217,713
1,104,714
1,84,715
1,169,716
1,116,717
1,167,718
1,192,719
1,236,720
1,201,721
1,195,722
1,46,723
1,110,724
2,96,725
1,189,726
1,198,727
1,8,728
2,218,729
2,96,730
1,96,731
1,172,732
1,92,733
3,181,734
2,209,735
1,81,736
1,79,737
2,196,738
1,212,739
1,51,740
2,190,741
1,78,742
1,31,743
2,6,744
2,70,745
2,1,746
1,31,747
1,55,748
1,22,749
2,55,750
1,68,751
1,136,752
1,222,753
1,57,754
2,45,755
1,77,756
3,250,757
2,185,758
1,194,759
2,59,760
1,220,761
1,58,762
1,123,763
1,184,764
1,154,765
1,191,766
1,131,767
1,74,768
1,138,769
1,245,770
2,216,771
1,79,772
2,141,773
2,156,774
2,124,775
1,11,776
1,149,777
1,70,778
2,167,779
1,187,780
2,235,781
1,225,782
1,18,783
2,43,784
2,111,785
1,75,786
1,98,787
2,199,788
2,128,789
1,87,790
2,169,791
1,242,792
2,190,793
1,81,794
1,157,795
1,224,796
1,105,797
1,180,798
1,247,799
2,184,800
1,195,801
1,54,802
2,220,803
2,202,804
2,113,805
1,113,806
1,14,807
1,109,808
1,152,809
2,65,810
1,142,811
1,5,812
3,62,813
2,5,814
2,85,815
2,170,816
2,52,817
1,109,818
1,249,819
1,83,820
3,14,821
1,235,822
1,238,823
1,76,824
1,240,825
1,4,826
1,145,827
1,112,828
1,107,829
2,5,830
1,111,831
3,51,832
3,181,833
2,56,834
2,81,835
2,104,836
2,18,837
1,158,838
2,184,839
1,64,840
1,211,841
2,171,842
2,129,843
1,221,844
3,8,845
2,154,846
2,175,847
3,195,848
1,209,849
2,229,850
1,40,851
1,75,852
1,18,853
1,127,854
1,80,855
3,33,856
1,77,857
2,125,858
2,5,859
1,125,860
2,205,861
1,34,862
1,239,863
1,137,864
1,130,865
1,219,866
2,248,867
1,79,868
1,238,869
1,85,870
3,95,871
1,12,872
1,240,873
1,48,874
1,68,875
1,97,876
1,6,877
1,182,878
1,80,879
1,244,880
1,146,881
1,174,882
1,152,883
1,20,884
1,25,885
1,103,886
2,195,887
2,211,888
2,55,889
1,79,890
1,31,891
1,224,892
2,14,893
1,235,894
1,80,895
1,54,896
1,79,897
1,222,898
3,205,899
1,140,900
2,227,901
2,23,902
1,177,903
1,159,904
1,1,905
2,137,906
1,59,907
1,193,908
1,230,909
2,40,910
3,223,911
1,154,912
2,21,913
2,222,914
1,50,915
1,16,916
1,176,917
1,49,918
1,125,919
1,77,920
1,248,921
1,209,922
1,173,923
1,40,924
1,203,925
2,152,926
1,218,927
1,67,928
1,240,929
1,2,930
3,30,931
1,198,932
1,22,933
1,171,934
1,64,935
2,62,936
1,232,937
2,250,938
1,39,939
1,59,940
1,73,941
2,99,942
1,106,943
2,139,944
1,83,945
1,151,946
1,240,947
2,105,948
2,44,949
1,218,950
1,72,951
1,127,952
1,16,953
1,109,954
1,20,955
1,182,956
1,171,957
1,19,958
1,250,959
2,136,960
1,57,961
3,205,962
2,78,963
2,77,964
2,156,965
1,57,966
1,153,967
1,190,968
2,141,969
1,24,970
1,144,971
1,193,972
2,185,973
3,121,974
2,113,975
1,12,976
1,77,977
1,76,978
1,205,979
1,134,980
2,166,981
2,90,982
1,206,983
1,102,984
1,207,985
1,73,986
2,163,987
1,63,988
2,239,989
1,75,990
1,96,991
1,150,992
2,84,993
2,233,994
1,163,995
1,90,996
1,59,997
2,35,998
1,214,999
1,32,1000
1,139,1001
1,106,1002
1,169,1003
1,149,1004
1,173,1005
1,233,1006
2,92,1007
1,123,1008
2,139,1009
1,135,1010
1,185,1011
1,170,1012
1,223,1013
1,22,1014
1,232,1015
1,45,1016
1,44,1017
3,100,1018
1,99,1019
2,235,1020
3,213,1021
2,19,1022
2,151,1023
2,140,1024
1,46,1025
1,101,1026
1,107,1027
2,204,1028
1,120,1029
2,59,1030
1,55,1031
1,169,1032
1,245,1033
1,111,1034
2,21,1035
2,18,1036
1,233,1037
1,228,1038
1,93,1039
1,231,1040
1,107,1041
1,171,1042
1,95,1043
1,217,1044
2,44,1045
1,208,1046
1,29,1047
1,81,1048
2,32,1049
1,113,1050
1,243,1051
2,32,1052
3,103,1053
1,140,1054
2,204,1055
1,226,1056
2,98,1057
1,170,1058
1,39,1059
2,169,1060
1,212,1061
1,158,1062
2,217,1063
1,238,1064
1,239,1065
1,85,1066
1,122,1067
1,25,1068
1,228,1069
1,229,1070
1,57,1071
1,22,1072
3,125,1073
2,54,1074
1,155,1075
1,129,1076
3,230,1077
1,81,1078
1,72,1079
1,142,1080
2,19,1081
1,106,1082
1,38,1083
1,79,1084
2,204,1085
3,158,1086
1,72,1087
2,9,1088
1,204,1089
1,4,1090
2,25,1091
1,228,1092
1,117,1093
1,152,1094
1,132,1095
2,70,1096
2,21,1097
2,116,1098
1,82,1099
1,23,1100
1,63,1101
1,232,1102
1,108,1103
1,12,1104
1,30,1105
1,182,1106
1,137,1107
2,28,1108
1,96,1109
2,197,1110
1,162,1111
1,221,1112
1,155,1113
2,178,1114
1,116,1115
1,12,1116
1,192,1117
1,73,1118
1,177,1119
2,88,1120
2,247,1121
1,28,1122
1,222,1123
1,133,1124
2,228,1125
1,250,1126
1,27,1127
2,207,1128
2,67,1129
1,148,1130
1,153,1131
2,39,1132
2,10,1133
1,107,1134
1,95,1135
2,25,1136
3,212,1137
2,213,1138
1,99,1139
1,186,1140
1,203,1141
1,250,1142
2,106,1143
1,154,1144
3,33,1145
2,95,1146
1,75,1147
1,94,1148
1,236,1149
1,12,1150
1,7,1151
2,148,1152
1,201,1153
1,134,1154
2,157,1155
1,91,1156
1,190,1157
1,96,1158
2,40,1159
1,180,1160
2,28,1161
1,92,1162
1,43,1163
1,9,1164
2,100,1165
1,80,1166
1,209,1167
1,86,1168
1,25,1169
1,58,1170
1,133,1171
2,44,1172
1,77,1173
1,26,1174
1,192,1175
1,46,1176
2,183,1177
1,211,1178
1,141,1179
1,154,1180
1,219,1181
2,38,1182
2,21,1183
1,50,1184
1,35,1185
2,153,1186
1,149,1187
1,38,1188
1,120,1189
1,188,1190
2,51,1191
2,13,1192
1,41,1193
2,80,1194
1,222,1195
1,194,1196
2,131,1197
1,231,1198
1,152,1199
1,192,1200
2,189,1201
1,230,1202
2,161,1203
1,64,1204
2,127,1205
1,102,1206
1,149,1207
1,49,1208
1,96,1209
1,152,1210
2,37,1211
2,170,1212
1,193,1213
2,247,1214
1,29,1215
2,100,1216
1,10,1217
2,229,1218
1,155,1219
1,90,1220
1,146,1221
1,72,1222
1,106,1223
1,57,1224
1,101,1225
1,29,1226
2,55,1227
1,170,1228
1,32,1229
2,89,1230
2,174,1231
1,126,1232
1,245,1233
1,167,1234
1,31,1235
2,145,1236
1,40,1237
1,142,1238
1,139,1239
3,53,1240
2,223,1241
1,66,1242
1,224,1243
1,170,1244
2,23,1245
1,25,1246
1,154,1247
1,121,1248
1,236,1249
1,206,1250
1,166,1251
1,211,1252
1,141,1253
1,212,1254
2,176,1255
1,47,1256
1,169,1257
1,109,1258
1,94,1259
2,226,1260
1,206,1261
1,141,1262
1,5,1263
2,138,1264
1,123,1265
1,166,1266
1,81,1267
1,38,1268
1,194,1269
2,37,1270
1,99,1271
2,91,1272
3,180,1273
1,128,1274
1,11,1275
1,177,1276
2,113,1277
1,243,1278
2,67,1279
1,34,1280
1,49,1281
3,41,1282
1,48,1283
2,138,1284
2,52,1285
2,179,1286
1,132,1287
1,65,1288
1,113,1289
2,209,1290
1,200,1291
1,234,1292
2,152,1293
1,1,1294
1,238,1295
1,178,1296
1,232,1297
2,201,1298
1,3,1299
1,223,1300
1,111,1301
1,161,1302
1,51,1303
1,103,1304
1,76,1305
1,36,1306
1,128,1307
1,75,1308
1,38,1309
1,149,1310
1,70,1311
1,68,1312
1,98,1313
1,243,1314
2,157,1315
1,11,1316
1,121,1317
1,233,1318
1,225,1319
1,35,1320
1,13,1321
3,227,1322
1,92,1323
1,136,1324
1,37,1325
1,158,1326
2,3,1327
2,86,1328
1,243,1329
1,93,1330
1,153,1331
1,58,1332
2,248,1333
3,87,1334
3,212,1335
1,95,1336
2,104,1337
2,237,1338
3,152,1339
1,4,1340
2,202,1341
1,2,1342
1,158,1343
1,14,1344
2,231,1345
1,171,1346
1,236,1347
1,203,1348
1,178,1349
1,136,1350
2,137,1351
1,86,1352
1,72,1353
2,23,1354
2,3,1355
1,16,1356
2,11,1357
1,128,1358
1,2,1359
2,103,1360
1,106,1361
1,214,1362
1,246,1363
2,185,1364
1,30,1365
1,96,1366
3,110,1367
1,149,1368
1,228,1369
1,232,1370
1,205,1371
2,78,1372
2,113,1373
1,155,1374
2,87,1375
1,247,1376
1,71,1377
1,23,1378
1,85,1379
3,11,1380
2,161,1381
2,80,1382
1,67,1383
1,212,1384
1,47,1385
1,101,1386
1,193,1387
1,90,1388
2,50,1389
1,3,1390
1,208,1391
1,191,1392
1,18,1393
2,100,1394
2,148,1395
1,72,1396
1,84,1397
1,116,1398
3,88,1399
1,49,1400
1,221,1401
1,159,1402
1,246,1403
1,198,1404
1,40,1405
1,195,1406
1,178,1407
1,7,1408
2,209,1409
1,191,1410
1,243,1411
1,116,1412
1,155,1413
1,156,1414
1,81,1415
1,200,1416
1,162,1417
2,124,1418
1,49,1419
2,44,1420
1,105,1421
1,131,1422
1,100,1423
1,239,1424
1,46,1425
1,119,1426
2,232,1427
1,98,1428
1,106,1429
1,74,1430
2,228,1431
2,228,1432
1,112,1433
1,78,1434
1,160,1435
2,37,1436
1,27,1437
1,249,1438
1,171,1439
1,208,1440
2,48,1441
1,187,1442
1,160,1443
1,147,1444
1,228,1445
1,39,1446
1,61,1447
1,95,1448
2,95,1449
1,180,1450
1,175,1451
1,127,1452
1,61,1453
1,62,1454
1,206,1455
2,172,1456
2,53,1457
1,206,1458
1,151,1459
1,190,1460
2,178,1461
1,73,1462
2,118,1463
1,223,1464
2,41,1465
1,48,1466
2,29,1467
1,235,1468
1,222,1469
1,20,1470
2,59,1471
1,116,1472
1,56,1473
1,111,1474
2,231,1475
2,188,1476
2,49,1477
1,161,1478
1,158,1479
2,54,1480
1,162,1481
1,71,1482
1,165,1483
